season,Team,GoalsConceded
season-0910,Burnley,82
season-1011,Blackpool,78
season-1112,Wolves,82
season-1213,Reading,73
season-1213,Wigan,73
season-1314,Fulham,85
season-1415,QPR,73
season-1516,Aston Villa,76
season-1617,Hull,80
season-1718,Stoke,68
season-1718,West Ham,68
season-1819,Fulham,81
